Rank;Team;Continent;ELO - Rating;Avg Rank;Avg Rating;1Y Rank;1Y Rating;Matches Total;Home;Away;Neutral;Wins;Losses;Draws;Goals For;Goals Against;;
70;Northern Ireland;Europe;1556;41;1650;6;41;602;273;292;37;167;286;149;634;918;;
71;Haiti;North America;1554;80;1416;12;60;545;180;188;177;240;191;114;929;739;;
72;Finland;Europe;1540;62;1500;-13;-81;813;332;424;57;213;434;166;959;872;;
72;United Arab Emirates;Asia;1540;99;1394;7;32;643;276;137;230;256;227;160;904;794;;
74;Oman;Asia;1539;128;1206;1;3;574;223;120;231;278;219;77;1129;852;;
75;Iraq;Asia;1538;60;1620;-2;-105;740;136;226;378;348;183;209;1178;963;;
76;Angola;Africa;1536;89;1459;3;28;442;153;175;114;184;129;152;519;861;;
77;Iceland;Europe;1531;41;1423;-5;-13;514;213;244;57;157;256;101;616;861;;
78;Montenegro;Europe;1528;41;1655;-11;-43;158;81;72;5;53;65;40;185;209;;
79;Bosnia and Herzegovina;Europe;1526;54;1625;11;49;268;112;130;26;99;109;60;366;373;;
80;Cape Verde;Africa;1513;122;1294;-15;-68;235;74;85;76;87;94;54;247;264;;
81;Qatar;Asia;1499;93;1418;-29;-148;672;308;143;221;281;221;170;968;790;;
82;Bahrain;Asia;1498;109;1352;10;37;616;209;154;253;220;233;163;762;781;;
83;Mozambique;Africa;1498;120;1326;29;132;401;151;159;91;124;172;105;408;514;;
84;Burkina Faso;Africa;1492;97;1410;-3;-9;464;149;178;137;159;180;125;570;616;;
85;Guatemala;North America;1492;68;1487;2;9;609;201;175;233;220;226;163;858;819;;
86;Equatorial Guinea;Africa;1491;85;1170;-15;-65;181;78;62;41;53;87;41;166;262;;
87;Belarus;Europe;1491;80;1511;7;37;291;98;151;42;87;130;74;325;412;;
88;Ghana;Africa;1479;44;1651;-7;-24;750;239;282;229;360;203;187;1200;779;;
89;Gabon;Africa;1469;95;1415;9;36;440;177;149;114;152;163;125;513;527;;
90;Bulgaria;Europe;1460;40;1634;-2;-20;760;291;392;77;277;293;190;1049;1119;;
91;Luxembourg;Europe;1458;108;1255;-14;-55;458;248;194;16;51;347;60;299;1193;;
92;Northern Cyprus;Asia;1457;85;1463;1;0;17;5;9;3;6;2;2;833;729;;
93;Guinea;Africa;1437;88;1519;-4;-26;590;148;242;200;221;198;171;810;730;;
94;Syria;Asia;1437;88;1422;2;-9;567;116;211;240;209;220;138;810;733;;
95;Palestine;Asia;1426;123;1243;6;7;276;118;108;150;78;127;71;353;437;;
96;Kazakhstan;Asia;1425;101;1420;-5;-45;258;97;116;45;66;137;55;269;432;;
96;Kurdistan;Asia;1425;101;1425;4;0;4;2;2;0;3;0;1;12;3;;
98;Comoros;Africa;1415;188;929;39;110;138;27;30;81;35;71;32;124;219;;
99;Benin;Africa;1413;108;1362;18;60;336;126;138;72;82;171;83;352;591;;
100;Zambia;Africa;1407;61;1556;-14;-77;683;266;345;227;380;244;214;1327;893;;
101;Tanzania;Africa;1406;118;1289;18;60;609;223;163;177;263;169;177;688;893;;
102;Suriname;South America;1403;84;1405;34;95;518;215;218;85;227;171;120;941;707;;
103;China;Asia;1399;48;1583;2;-5;737;270;245;222;359;221;157;1383;816;;
104;Zimbabwe;Africa;1397;82;1463;27;75;508;183;201;124;197;164;147;685;591;;
105;Trinidad and Tobago;North America;1396;60;1508;-6;-31;853;340;355;158;373;295;185;1426;1080;;
106;Sudan;Africa;1396;90;1450;24;70;521;151;197;181;182;213;134;616;695;;
107;El Salvador;North America;1392;71;1473;-1;-4;667;202;202;263;222;296;149;818;704;;
108;Estonia;Europe;1392;93;1353;8;38;529;225;251;53;131;281;117;522;933;;
109;Uganda;Africa;1392;73;1488;5;29;703;243;241;219;295;224;184;1060;836;;
110;Libya;Africa;1387;81;1477;-7;-22;438;157;159;122;159;177;102;594;705;;
111;Armenia;Asia;1387;102;1419;-16;-67;271;108;127;36;65;151;55;271;507;;
112;Thailand;Asia;1385;113;1419;-10;-31;922;384;195;343;358;353;211;1458;1385;;
113;Kenya;Africa;1381;90;1377;-9;-25;720;269;257;194;271;272;177;991;979;;
114;North Korea;Asia;1380;61;1586;-3;-15;50;149;220;178;126;115;65;654;443;;
115;Guadeloupe;North America;1377;90;1412;13;50;288;91;88;109;128;110;50;502;399;;
116;Gambia;Africa;1376;117;1318;-1;19;279;103;97;79;76;125;78;288;395;;
117;Martinique;North America;1372;79;1460;-20;-65;360;132;120;108;163;111;86;666;477;;
118;Togo;Africa;1372;90;1441;-9;-19;481;172;194;115;150;206;125;522;664;;
119;Azerbaijan;Asia;1369;108;1398;-35;-124;312;110;149;53;65;169;78;252;522;;
120;Vietnam;Asia;1357;121;1294;27;88;513;168;125;220;213;198;102;899;763;;
121;Namibia;Africa;1351;127;1273;1;84;293;102;116;75;92;150;99;286;408;;
122;Botswana;Africa;1349;152;1155;-1;6;341;155;127;59;92;150;99;275;433;;
123;Mauritania;Africa;1347;155;1115;-16;-49;286;89;99;98;53;166;67;208;510;;
124;Réunion;Africa;1346;125;1181;-5;0;137;55;36;46;55;27;26;232;250;;
125;Lebanon;Asia;1339;110;1320;19;58;389;139;127;123;110;176;103;464;756;;
126;Indonesia;Asia;1339;101;1359;0;1;775;244;189;342;294;329;152;1297;1216;;
127;Sierra Leone;Africa;1329;104;1370;8;18;321;110;134;77;91;145;85;303;424;;
128;Rwanda;Africa;1326;144;1126;-6;-13;204;27;42;135;37;126;41;169;434;;
129;Zanzibar;Africa;1324;106;1104;2;6;27;42;135;37;126;41;43;169;434;;
130;Kuwait;Asia;1320;85;1466;-3;-5;726;256;170;300;303;234;189;1133;822;;
131;Curaçao;North America;1325;96;1382;-6;-14;471;163;166;142;191;165;115;830;729;;
132;Niger;Africa;1324;124;1242;24;84;274;96;112;66;59;150;65;267;479;;
133;Moldova;Europe;1323;109;1393;-15;-24;289;143;41;59;63;236;87;236;487;;
134;Kyrgyzstan;Asia;1321;157;1197;13;50;183;46;73;64;55;101;27;201;321;;
135;Nicaragua;North America;1317;145;1027;-3;-4;242;59;94;89;52;161;30;229;277;;
136;Madagascar;Africa;1303;104;1367;4;7;340;122;118;100;128;136;76;469;506;;
137;Cyprus;Asia;1298;101;1380;-3;-21;418;232;180;6;82;266;70;370;913;;
